"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","2.82563115918587","3.20080178201529","3.16819559311055","2.80699241397663","2.93456773691508","2.88543443841362","3.58240355902005","2.98759891051256","3.65668578765688","3.90554536444903","4.090861869029","4.16188204887896","3.99821518168633","4.80549302132937","4.71867592684672","4.31205421387681","4.75386739046884","4.77272349943975","4.01571545240587","4.13143308057787","4.74219849085758","3.93917501277224","4.3785094965787","3.99427271619054","4.86972079066724","4.73321645532784","4.28333592367466","5.34593374557139","3.8445309877373","3.48965931345387","4.79657344057842","5.51646024128246","4.50976355088782","5.76464572512018","5.64078135894216","6.74663432596237","6.55388866952271","6.77985500738169","6.32882751798367","6.50723203642401","7.68750694612393","7.50118697135383","8.84023738779031","8.47891592725777","9.12821699010346","9.46930988285361","9.25085698188364","8.94872841391692","9.51883171028267","8.26040959619855","9.79550688897709","0.189134247778406","0.207712559464018","0.217398462565611","","","","","","","",
"Afghanistan","AFG","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","43.4500007629395","43.6800003051758","41.7000007629395","46.5499992370605","48.3600006103516","47.8400001525879","53.3199996948242","54.6100006103516","55.7700004577637","50.9599990844727","46.4599990844727","54.3899993896484","57.7900009155273","59.1599998474121","60.5299987792969","64.6800003051758","54.3600006103516","60.6300010681152","59.1399993896484","58.8800010681152","57.2900009155273","56.0299987792969","54.2900009155273","52.5299987792969","50.5499992370605","48.2200012207031","48.9099998474121","46.4000015258789","44.5900001525879","44.75","56.6300010681152","53.8600006103516","56.6800003051758","57.9900016784668","58.9099998474121","59.310001373291","62.0900001525879","63.9099998474121","59.560001373291","50.5699996948242","52.4799995422363","63.1500015258789","69.5400009155273","62.060001373291","77.6900024414063","74.2300033569336","84.9700012207031","73.8300018310547","93.1600036621094","89.8399963378906","81.3199996948242","94.6900024414063","93.0500030517578","99.8899993896484","95.5500030517578","104.569999694824","100.910003662109","94.4300003051758","121.430000305176","","",
"Africa Western and Central","AFW","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","0.0341933367059065","0.0358537688894412","0.0375879148180213","0.0390496158943204","0.0391821092728276","0.039011275975914","0.0407806082966379","0.0413176827890084","0.0439360294974616","0.0459516158905385","0.0447111374403402","0.0412168297720375","0.0423568049657656","0.0468509676389918","0.0463912364430108","0.0439828153190659","0.0423355614989486","0.042896199262735","0.0432402290613193","0.0437073482070407","0.0457824183717464","0.045558209299015","0.0445066017635052","0.0469394308592247","0.0508972630353081","0.0546423585718616","0.054308155573306","0.0605384593518336","0.0649683162314111","0.0658167990181434","0.0752390188124677","0.0781971404473979","0.081487251115255","0.0836316388872964","0.0883933841554345","0.0927536474211303","0.0948521581381308","0.101639425174726","0.106340970852833","0.106838510850382","0.107888147778366","0.111714496826737","0.118026781802905","0.122444542896143","0.131300209699837","0.138068097149524","0.131628332142557","0.145380765434187","0.136461522157662","0.153065537394343","0.145669444418014","0.161482105558985","0.159891135760552","0.173807456085969","","","","","","","",
"Angola","AGO","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","21.0100002288818","22.3500003814697","21.8500003814697","23.7600002288818","24.6200008392334","25.7099990844727","26.3700008392334","24.7900009155273","26.2299995422363","26.2199993133545","27.2999992370605","26.7700004577637","26.7800006866455","26.6299991607666","23.4300003051758","18.1599998474121","17.1900005340576","15.9700002670288","14.2200002670288","15.4499998092651","13.7600002288818","13.6000003814697","13.5799999237061","13.8100004196167","13.8100004196167","14.4799995422363","14.5500001907349","14.5299997329712","14.3500003814697","13.9300003051758","14.9399995803833","15.9200000762939","15.5","18.9799995422363","18.7399997711182","19.0100002288818","18.1700000762939","22.3099994659424","20.7000007629395","25.5799999237061","31.3899993896484","37.1199989318848","41.1800003051758","47.6199989318848","51.7400016784668","52.7200012207031","61.3499984741211","65.2600021362305","86.0899963378906","91.0199966430664","100.690002441406","78.7900009155273","113.949996948242","97.2300033569336","100.069999694824","102.699996948242","103.720001220703","108.150001525879","110.849998474121","","",
"Albania","ALB","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","21.3700008392334","23.5200004577637","22.5400009155273","27","24.3999996185303","29.5100002288818","30.1100006103516","32.0800018310547","32.560001373291","33.6800003051758","34.439998626709","35.9900016784668","39.0299987792969","39.8400001525879","40.7700004577637","45.5200004577637","48.0099983215332","48.7000007629395","50","47.75","49.2999992370605","51.6199989318848","58.2799987792969","53.1300010681152","52.6399993896484","53.25","54.2200012207031","47.0999984741211","55.1300010681152","49.8300018310547","36.5999984741211","40.4099998474121","47.8300018310547","47.9000015258789","48.9700012207031","48.6399993896484","50.3300018310547","53.7700004577637","49.5099983215332","51.810001373291","53.1699981689453","52.060001373291","54.8199996948242","58.4000015258789","58.2999992370605","61.9000015258789","61.0299987792969","70.5899963378906","75.129997253418","82.6900024414063","87.4000015258789","93.8000030517578","93.6100006103516","95.879997253418","99.8600006103516","104.269996643066","105.910003662109","105.669998168945","107.190002441406","","",
"Andorra","AND","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","2.81939442698721","3.19869871450687","3.16573501782349","2.80201932804315","2.93226896760868","2.87600090178696","3.57151740954769","2.98091026835931","3.64680489837291","3.89348933949858","4.08079686413104","4.15039285879002","3.98550771313226","4.79516532455754","4.70963198443794","4.30190483233791","4.74051431957329","4.76331928596445","4.00666133642617","4.12559749423235","4.73124884568307","3.9295413780418","4.37303683269951","3.98857891790365","4.87108529386453","4.73623885230199","4.28223551060159","5.349012267145","3.83817904512768","3.48799644337578","4.80225240271229","5.53285286003331","4.52843584529588","6.4163310513356","6.41081529513058","7.61405385835449","7.2752316673515","7.58670481950449","6.97002183656752","7.45870524693839","8.38499200659674","8.48276779338121","9.62449655101049","9.41175565248319","9.94941713309024","10.4062912328476","10.0206624677907","9.81571784005454","10.310209289026","8.8548615546455","10.4441783644853","0.987572132439845","0.948395447747555","0.973519257356034","","","","","","","",
"United Arab Emirates","ARE","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","1.60000002384186","1.72000002861023","1.85000002384186","1.96000003814697","1.97000002861023","2.52999997138977","2.72000002861023","2.96000003814697","3.41000008583069","3.94000005722046","4.40000009536743","3.91000008583069","4.61999988555908","7.44999980926514","8.10000038146973","9.42000007629395","11.1599998474121","15.5699996948242","18.5599994659424","21.9099998474121","24.5200004577637","32.2000007629395","36.5699996948242","32.0299987792969","32.5499992370605","33.0999984741211","31.6800003051758","43.6800003051758","50.9700012207031","52.3300018310547","66.9300003051758","88.5899963378906","93.9800033569336","98.4700012207031","115.819999694824","124.080001831055","157.020004272461","159.940002441406","269.410003662109","348.179992675781","209.770004272461","198.360000610352","182.570007324219","199.149993896484","196.139999389648","176.550003051758","174.059997558594","183.990005493164","176.210006713867","187.869995117188","68.4800033569336","64.5500030517578","66.3399963378906","88.3300018310547","105.419998168945","106.25","98.3300018310547","99.5999984741211","95.8499984741211","","",
"Argentina","ARG","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","19.5","20.0100002288818","22.1100006103516","23.7700004577637","21.0300006866455","22.5900001525879","25.7800006866455","22.25","23.3400001525879","25.1000003814697","26.6100006103516","24.1299991607666","27.0599994659424","30.3199996948242","28.7600002288818","31.3299999237061","30.7199993133545","32.8300018310547","34.5299987792969","30.6900005340576","34.8499984741211","39.9199981689453","38.9900016784668","39.9300003051758","38.3400001525879","38.8400001525879","38","40.6100006103516","34.4700012207031","38.5499992370605","41.4199981689453","42.4199981689453","40.439998626709","43.1300010681152","48.0999984741211","45.4900016784668","52.3800010681152","60.939998626709","59.6300010681152","60.9599990844727","63.9500007629395","65.7699966430664","68.3899993896484","66.9000015258789","78.1100006103516","75.9800033569336","86.1600036621094","87.7799987792969","62.310001373291","86.0599975585938","92.6500015258789","81.3600006103516","90.9400024414063","93.7399978637695","104.470001220703","101.790000915527","107.309997558594","91.5199966430664","113.73999786377","","",
