,inflation,gdp
1961-01-01,3.2717768399815,11579.3113728918
1962-01-01,4.89629361138523,12200.1647059241
1963-01-01,5.52601758936883,12779.8777459094
1964-01-01,3.99390635205449,13450.6130773243
1965-01-01,3.00188347092367,13938.2009035424
1966-01-01,2.97187105485011,14520.90271332
1967-01-01,3.04136783873186,15101.8177290415
1968-01-01,4.39927408649632,15656.8327241562
1969-01-01,7.39598365400902,16644.302861919
1970-01-01,5.42473919931945,17526.4742001718
1971-01-01,5.90038912274471,18312.5429574749
1972-01-01,6.80497331017685,18985.767152331
1973-01-01,7.85958065448347,20033.0120405998
1974-01-01,11.8324241631202,20744.7098004525
1975-01-01,13.7534002452748,20416.3807476764
1976-01-01,10.7492087804188,21192.4503743429
1977-01-01,8.77515753254903,21826.9180620996
1978-01-01,9.27909130556081,22602.2938154866
1979-01-01,10.3102920761377,23308.6779017224
1980-01-01,11.686937368809,23571.7601213171
1981-01-01,11.6919724612365,23708.2313315445
1982-01-01,12.0947649780686,24176.3145490166
1983-01-01,9.65034494199786,24343.1301270876
1984-01-01,7.06752895253651,24573.9301474875
1985-01-01,5.45375855690344,24832.9691797729
1986-01-01,5.05517163446163,25270.018173555
1987-01-01,2.45586098408704,25769.7309382798
1988-01-01,3.1934013340292,26840.0498564772
1989-01-01,3.28524754798478,27854.6078624175
1990-01-01,2.65716286284953,28523.5774453551
1991-01-01,2.54708482952901,28663.2840835565
1992-01-01,1.96705575674531,28977.2620870713
1993-01-01,1.62350295323319,28670.5991675264
1994-01-01,0.924929488177952,29237.7063204025
1995-01-01,1.12472291500529,29746.0054678075
1996-01-01,1.35807806646662,30059.6949915431
1997-01-01,0.878201639970939,30653.3528508069
1998-01-01,0.950262691440912,31636.5672206853
1999-01-01,0.203811154729848,32551.0830706316
2000-01-01,1.5532902530466,33597.3662427446
2001-01-01,2.00833418538838,34015.3809173194
2002-01-01,2.0674257413845,34152.3658925504
2003-01-01,1.85936824410877,34190.3029345668
2004-01-01,1.62267544006134,34899.8763766384
2005-01-01,1.93634141901367,35213.893088874
2006-01-01,2.15532739127715,35825.7485784696
2007-01-01,2.5566370154462,36468.0978775182
2008-01-01,2.36707384043677,36357.3225084709
2009-01-01,0.0666274760495753,35131.4491385136
2010-01-01,1.06969747621216,35639.8040642823
2011-01-01,0.947960225382971,36245.5427948625
2012-01-01,1.16182503173519,36183.4879863585
2013-01-01,0.778100531144062,36205.1678224014
2014-01-01,0.576944232991778,36378.6186614699
2015-01-01,1.13824878533235,36652.9223052178
2016-01-01,0.522559343400445,36956.7958003293
2017-01-01,0.521577263305687,37694.0833027304
2018-01-01,0.9922245663778,38291.8657809431
2019-01-01,1.27859214632949,38912.3312648593
2020-01-01,2.52464913907811,35785.967011942
