,Germany,France,United Kingdom,Italy
1971-01-01,7.62133652424353,5.90038912274471,7.98562450396294,7.17883799190318
1972-01-01,4.53185709981516,6.80497331017685,7.18825178365192,5.63297445463147
1973-01-01,6.29951371846744,7.85958065448347,8.41487857295569,12.7386317722905
1974-01-01,7.27529030261664,11.8324241631202,15.0592125800563,20.2463802148206
1975-01-01,5.66662353874467,13.7534002452748,25.7707279916172,16.9830893379841
1976-01-01,3.3061945276439,10.7492087804188,15.1135672458945,17.4542759413683
1977-01-01,3.1007182024763,8.77515753254903,13.7104941744667,18.4771578208988
1978-01-01,3.54584189663728,9.27909130556081,11.4575469497378,13.9449736118056
1979-01-01,4.27814065591545,10.3102920761377,14.0665414144871,15.4510276706142
1980-01-01,5.45118938878677,11.686937368809,19.7037946351815,20.815794339367
1981-01-01,4.1752387882334,11.6919724612365,11.5692628194882,18.7872260862511
1982-01-01,4.5810585318544,12.0947649780686,7.41877486404204,17.5409502379084
1983-01-01,2.80793853884778,9.65034494199786,5.12280957507546,15.0967390421266
1984-01-01,1.98914634165675,7.06752895253651,5.03004749604274,10.7618453102998
1985-01-01,2.12472570836948,5.45375855690344,5.51169788469916,9.17464240026035
1986-01-01,2.99954311462282,5.05517163446163,4.33535606610785,7.48841788190988
1987-01-01,1.27966355384072,2.45586098408704,5.4405490747903,6.00928278208094
1988-01-01,1.69046127693917,3.1934013340292,6.13317320683642,6.65040261914507
1989-01-01,2.87906682729412,3.28524754798478,7.93586228546617,6.1973879442466
1990-01-01,3.39664344990661,2.65716286284953,7.88621804738521,8.91406346285557
1991-01-01,3.0850797602741,2.54708482952901,6.41908648514389,7.58132868312238
1992-01-01,5.30619664154659,1.96705575674531,3.32097924869252,4.36811548625116
1993-01-01,3.88366391994282,1.62350295323319,2.73304425884132,3.88595185807743
1994-01-01,2.05160802865106,0.924929488177952,1.39362357967943,3.54247357636952
1995-01-01,1.98132464852524,1.12472291500529,11.6700094542817,4.92524449399963
1996-01-01,0.602279503049189,1.35807806646662,4.26134610692728,4.5076232078974
1997-01-01,0.272816321974162,0.878201639970939,-0.349045437466671,2.56737468974622
1998-01-01,0.688465401249033,0.950262691440912,1.59660648076544,2.40262167809806
1999-01-01,0.343135141558832,0.203811154729848,1.34230672494529,1.5361284470883
2000-01-01,-0.489389005327581,1.5532902530466,1.69083726232446,1.79239796601405
2001-01-01,1.30499491007868,2.00833418538838,1.85101763216447,3.03359202588445
2002-01-01,1.37812582409744,2.0674257413845,2.06344099575955,3.27434188043023
2003-01-01,1.32125352370875,1.85936824410877,2.73712314364111,3.1478079285654
2004-01-01,1.11559586662639,1.62267544006134,2.57005899447064,2.67018368106109
2005-01-01,0.405207331851614,1.93634141901367,3.13589713358328,2.01055790083582
2006-01-01,0.397281154893903,2.15532739127715,2.84835797682179,2.12485391464755
2007-01-01,1.77027320694081,2.5566370154462,2.79651575648585,2.47899476586151
2008-01-01,0.909330422301522,2.36707384043677,3.2285597654007,2.40070344440197
2009-01-01,1.84189163776318,0.0666274760495753,1.7162190592525,1.67883895982297
2010-01-01,0.645275771121817,1.06969747621216,1.37620731822221,0.436360537541674
2011-01-01,1.06948374534943,0.947960225382971,2.06733293431685,1.60717698349345
2012-01-01,1.49648883779834,1.16182503173519,1.611883545944,1.54730144037734
2013-01-01,1.95939168302444,0.778100531144062,2.23880054182746,1.14761015891955
2014-01-01,1.87793985374911,0.576944232991778,1.59036810676083,0.913241261981469
2015-01-01,1.85367882408802,1.13824878533235,0.511374817313225,0.931863574759717
2016-01-01,1.32775222269545,0.522559343400445,1.90110663436174,1.13435002037254
2017-01-01,1.50373898915133,0.521577263305687,1.81876640825315,0.726343220957816
2018-01-01,1.97471716141666,0.9922245663778,1.99903489165381,1.06813204686947
2019-01-01,2.05505655287355,1.27859214632949,2.01510318725352,0.915075229574896
2020-01-01,1.59682265615311,2.52464913907811,5.34767755220014,1.16759243058586
