Country,inflation,gdp
Indonesia,4.29267812199525,3589.71554262199
Cambodia,3.34104215909798,1289.98581415401
Lao PDR,1.85209676121123,2373.59737898011
Myanmar,5.37290102051014,1380.15282710961
Malaysia,3.77896094306453,10707.7483031664
Philippines,2.32025994640743,3338.44153302069
Singapore,3.00609296479209,59271.0568151876
Thailand,1.8999449899777,6247.9920783153
